city,pool,garage,sqft,bed,bath,price
Long Beach,no,yes,2068,3,2,382452
Long Beach,no,no,1338,2,1,486247
Westwood,no,yes,1896,4,3,456876
Westwood,no,yes,1951,4,3,569159
Santa Monica,no,yes,2188,2,1,1037482
Westwood,yes,yes,1660,1,1,418153
Santa Monica,no,no,1997,2,1,652624
Santa Monica,yes,yes,2140,2,1,834434
Santa Monica,yes,yes,1903,3,2,746764
Long Beach,yes,no,1322,5,4,195178
Long Beach,no,yes,2014,2,1,831883
Long Beach,no,no,1763,3,2,408369
Long Beach,yes,yes,1901,3,2,475810
Westwood,no,yes,1979,4,3,185018
Westwood,no,yes,1858,6,5,409148
Westwood,no,yes,2304,2,1,933734
Westwood,yes,yes,2193,3,2,976373
Long Beach,no,yes,2379,3,2,738854
Santa Monica,no,no,2036,3,2,1178382
Long Beach,no,yes,1981,4,3,332090
Westwood,no,yes,1519,3,2,238700
Westwood,no,no,1546,2,1,768900
Santa Monica,no,yes,3079,2,1,1177203
Long Beach,yes,yes,1956,3,2,722663
Santa Monica,yes,yes,2114,3,2,906326
Westwood,no,yes,2129,3,2,775615
Long Beach,no,yes,1997,2,1,646925
Santa Monica,yes,yes,1899,1,1,1022895
Long Beach,no,yes,1686,2,1,172885
Westwood,no,yes,2224,3,2,776133
Long Beach,no,yes,2376,3,2,559665
Santa Monica,no,yes,1292,2,1,599817
Long Beach,no,yes,2326,4,3,393465
Long Beach,no,yes,2210,3,2,575422
Long Beach,no,yes,1434,2,1,580036
Long Beach,no,yes,1842,2,1,671335
Westwood,yes,yes,1806,1,1,272941
Westwood,no,no,1584,1,1,476299
Long Beach,yes,yes,1643,3,2,547205
Santa Monica,yes,yes,1660,2,1,604767
Santa Monica,no,yes,1982,3,2,645572
Santa Monica,no,yes,1947,2,1,380589
Santa Monica,no,no,1500,1,1,650050
Long Beach,no,no,2239,1,1,386492
Santa Monica,yes,no,1639,2,1,133449
Westwood,no,yes,1502,3,2,548795
Long Beach,no,yes,2053,2,1,389314
Long Beach,yes,no,1339,3,2,202098
Long Beach,no,yes,1704,2,1,91062
Santa Monica,no,no,2527,9,8,704344
Long Beach,yes,no,2426,6,5,978429
Westwood,no,yes,2419,4,3,939113
Long Beach,no,no,1320,2,1,292583
Westwood,no,no,1944,1,1,253477
Long Beach,no,yes,1885,2,1,440847
Long Beach,no,yes,2443,3,2,758731
Westwood,no,no,1691,2,1,252639
Santa Monica,yes,no,2329,3,2,1075177
Long Beach,no,yes,1838,5,4,190713
Long Beach,yes,yes,1984,3,2,475085
Santa Monica,no,yes,1458,2,1,631798
Long Beach,no,yes,2382,6,5,740985
Long Beach,no,yes,1751,3,2,292752
Santa Monica,yes,yes,1854,1,1,681330
Long Beach,no,yes,1960,4,3,515863
Long Beach,no,yes,2349,2,1,762376
Westwood,no,yes,1480,2,1,465961
Long Beach,no,no,2031,2,1,529211
Santa Monica,no,yes,1358,3,2,190118
Westwood,no,no,1763,1,1,720654
Westwood,no,yes,2463,4,3,349169
Santa Monica,no,no,2071,2,1,898711
Long Beach,no,yes,1824,4,3,152202
Santa Monica,no,no,2605,3,2,1223453
Long Beach,no,yes,1959,1,1,775200
Santa Monica,yes,yes,2357,5,4,714859
Long Beach,yes,no,2652,6,5,597763
Santa Monica,no,yes,2136,2,1,845595
Westwood,no,no,2576,6,5,732228
Westwood,no,no,2531,3,2,757248
Long Beach,no,yes,1496,4,3,431250
Long Beach,no,no,2181,3,2,703447
Westwood,yes,yes,2327,6,5,271289
Long Beach,no,yes,1780,4,3,263080
Westwood,no,no,1256,4,3,452886
Santa Monica,no,no,2750,7,6,756006
Long Beach,yes,yes,1911,4,3,344258
Long Beach,no,yes,2178,5,4,422194
Westwood,no,no,1910,3,2,751237
Westwood,no,no,1568,3,2,579430
Westwood,no,yes,2048,3,2,371841
Westwood,no,yes,2395,2,1,706911
Long Beach,no,yes,1293,2,1,338512
Long Beach,no,no,2108,4,3,735884
Long Beach,no,yes,2024,2,1,709261
Long Beach,no,yes,2195,4,3,220818
Long Beach,no,no,2003,1,1,723028
Westwood,no,yes,1289,2,1,403863
Westwood,no,no,1784,2,1,589949
Long Beach,no,yes,2535,5,4,718910
Long Beach,no,no,1899,3,2,715615
Long Beach,no,yes,1999,5,4,448374
Westwood,no,yes,1975,1,1,449747
Santa Monica,no,yes,2059,3,2,387812
Long Beach,no,yes,1770,3,2,219677
Santa Monica,no,yes,2383,3,2,896179
Santa Monica,no,yes,1650,1,1,721249
Santa Monica,no,no,2418,3,2,814875
Long Beach,yes,yes,2206,4,3,273030
Westwood,no,yes,1814,3,2,328074
Long Beach,no,no,2074,1,1,467745
Santa Monica,yes,no,1949,2,1,578492
Long Beach,no,no,1814,4,3,397734
Long Beach,no,no,2240,3,2,601170
Long Beach,no,yes,1621,1,1,616693
Long Beach,yes,yes,1316,2,1,612266
Santa Monica,no,yes,2005,3,2,726615
Long Beach,no,yes,1684,2,1,659002
Long Beach,yes,no,1339,3,2,202098
Westwood,no,yes,2431,4,3,1321550
Long Beach,no,no,2448,4,3,725422
Long Beach,no,yes,2267,3,2,517200
Santa Monica,no,no,1937,2,1,340373
Santa Monica,yes,yes,2147,2,1,613546
Long Beach,yes,yes,1721,1,1,429210
Westwood,no,yes,2413,1,1,473476
Long Beach,yes,yes,1633,2,1,393802
Long Beach,no,yes,2538,1,1,720798
Santa Monica,no,no,1970,2,1,482462
Long Beach,no,yes,2067,2,1,450004
Long Beach,no,yes,1766,3,2,1059705
Westwood,yes,yes,2080,3,2,896064
Long Beach,no,yes,1976,3,2,840761
Westwood,no,yes,2159,2,1,615811
Westwood,no,yes,1861,2,1,581810
Long Beach,no,no,1551,2,1,461443
Long Beach,no,no,1732,4,3,573925
Long Beach,no,yes,1704,4,3,986205
Long Beach,no,no,1671,3,2,218632
Santa Monica,no,yes,2054,5,4,527393
Long Beach,no,no,1741,4,3,229024
Long Beach,no,no,1887,3,2,297792
Santa Monica,no,yes,2351,3,2,854480
Long Beach,no,yes,2107,3,2,406786
Long Beach,no,yes,2242,2,1,297643
Westwood,no,no,2003,2,1,673176
Long Beach,no,no,2569,8,7,1053886
Santa Monica,no,no,1366,2,1,572037
Long Beach,yes,yes,1686,2,1,565989
Santa Monica,no,yes,1499,6,5,826878
Long Beach,no,no,1965,3,2,515513
Long Beach,no,yes,1290,3,2,181487
Long Beach,no,yes,2293,3,2,828436
Long Beach,yes,yes,2646,1,1,515603
Long Beach,no,yes,1650,3,2,742691
Long Beach,no,yes,1981,5,4,440593
Long Beach,no,yes,2245,2,1,648828
Long Beach,no,yes,1889,3,2,463703
Long Beach,yes,yes,2292,3,2,807798
Santa Monica,no,yes,2237,3,2,555289
Westwood,no,yes,1561,2,1,473544
Long Beach,no,yes,2981,7,6,983142
Santa Monica,no,yes,2283,4,3,1071611
Long Beach,no,no,3023,6,5,723944
Long Beach,no,yes,1702,1,1,457062
Santa Monica,no,yes,2035,3,2,858954
Westwood,no,yes,2081,1,1,1018612
Long Beach,yes,yes,1861,5,4,522469
Long Beach,no,no,1467,1,1,350746
Long Beach,no,yes,2677,4,3,630463
Santa Monica,no,yes,2324,3,2,797311
Long Beach,no,no,1544,2,1,388119
Long Beach,yes,yes,2279,2,1,460106
Long Beach,no,yes,1620,7,6,495729
Long Beach,yes,no,2337,3,2,586494
Santa Monica,yes,no,2422,3,2,835616
Long Beach,no,yes,2162,3,2,563767
Santa Monica,no,yes,1935,4,3,527865
Long Beach,no,no,1901,2,1,252806
Santa Monica,no,no,2483,7,6,1020393
Santa Monica,no,no,1576,2,1,264804
Westwood,no,yes,2098,4,3,183498
Long Beach,no,yes,2455,6,5,493974
Long Beach,no,no,2063,4,3,582364
Long Beach,no,no,2126,5,4,582725
Long Beach,no,yes,1634,1,1,170581
Santa Monica,no,yes,1806,3,2,442661
Santa Monica,yes,no,1577,2,1,694528
Long Beach,no,yes,1352,1,1,144212
Westwood,no,yes,1711,1,1,308739
Long Beach,no,yes,2192,5,4,817451
Westwood,no,yes,1852,1,1,604712
Long Beach,yes,no,2577,3,2,702948
Long Beach,no,yes,2407,2,1,624114
Santa Monica,no,yes,2119,1,1,533049
Long Beach,yes,yes,2181,2,1,536651
Westwood,yes,yes,2426,3,2,553235
Long Beach,yes,yes,2279,2,1,460106
Santa Monica,no,yes,2097,4,3,833925
Westwood,no,yes,1461,2,1,319961
Santa Monica,no,yes,1964,3,2,633243
Long Beach,no,yes,1598,4,3,371979
Santa Monica,no,yes,1605,2,1,835784
Westwood,no,yes,1908,1,1,226951
Long Beach,no,yes,1738,7,6,185459
Westwood,no,no,2112,5,4,750801
Long Beach,no,no,1413,2,1,512740
Long Beach,no,yes,2495,2,1,856508
Long Beach,no,no,1690,1,1,419282
Long Beach,yes,no,1980,2,1,451230
Santa Monica,yes,yes,1721,4,3,617928
Santa Monica,yes,no,1949,2,1,578492
Long Beach,yes,yes,1708,2,1,573427
Long Beach,no,yes,2630,2,1,801304
Westwood,no,yes,1770,3,2,745398
Westwood,no,yes,1531,2,1,374008
Long Beach,no,yes,2379,3,2,738854
Westwood,yes,yes,2107,3,2,329341
Santa Monica,no,no,2018,3,2,790658
Westwood,no,no,2102,2,1,617459
Long Beach,yes,yes,1659,1,1,208389
Long Beach,no,yes,1893,3,2,504741
Westwood,no,no,1688,3,2,530263
Westwood,no,yes,1872,3,2,783058
Westwood,no,no,2323,3,2,536739
Long Beach,no,yes,2889,3,2,1107794
Long Beach,yes,no,1506,2,1,543442
Westwood,yes,yes,2726,7,6,1367151
Long Beach,yes,no,2064,6,5,375049
Long Beach,no,no,2046,2,1,590866
Santa Monica,no,yes,2848,3,2,607502
Westwood,no,yes,2269,3,2,757962
Long Beach,no,yes,1477,3,2,233715
Santa Monica,no,yes,1549,4,3,380674
Santa Monica,no,yes,2152,3,2,471657
Santa Monica,no,yes,1707,6,5,697388
Santa Monica,no,yes,2482,4,3,793338
Santa Monica,no,yes,2002,6,5,824883
Long Beach,yes,yes,1112,1,1,190873
Santa Monica,no,yes,2158,3,2,1032536
Santa Monica,yes,yes,1617,2,1,433940
Long Beach,no,no,1163,3,2,250571
Westwood,no,yes,2517,4,3,968477
Westwood,yes,yes,2213,5,4,598840
Long Beach,no,yes,1533,2,1,263934
Westwood,no,no,1572,1,1,654993
Long Beach,no,yes,2571,5,4,194889
Westwood,no,yes,1811,2,1,721869
Westwood,no,yes,2532,3,2,880308
Santa Monica,no,no,2147,4,3,857145
Westwood,no,yes,1640,5,4,771102
Long Beach,yes,yes,2479,4,3,610904
Santa Monica,no,no,1770,3,2,739160
Long Beach,no,yes,1328,4,3,257018
Westwood,no,yes,2547,5,4,865579
Santa Monica,no,yes,1451,2,1,338300
Santa Monica,no,yes,1976,3,2,937361
Westwood,no,no,1929,4,3,531807
Westwood,no,yes,2065,8,7,820554
Santa Monica,no,yes,2308,3,2,339271
Long Beach,no,no,1960,1,1,284683
Westwood,yes,yes,2844,8,7,980932
Long Beach,no,yes,2108,1,1,349351
Westwood,no,yes,1918,1,1,1004707
Westwood,no,yes,1423,1,1,519427
Westwood,no,no,2988,1,1,956639
Santa Monica,no,yes,2340,5,4,659360
Long Beach,yes,yes,1800,1,1,518461
Long Beach,no,yes,2769,3,2,452448
Westwood,yes,yes,1757,1,1,720991
Westwood,no,no,1550,2,1,572356
Long Beach,no,no,1496,3,2,585060
Long Beach,no,no,2372,3,2,726214
Long Beach,no,no,1499,2,1,258590
Santa Monica,no,yes,2097,1,1,467713
Westwood,no,yes,2313,3,2,702221
Long Beach,no,yes,1428,3,2,209336
Long Beach,no,yes,2354,1,1,739967
Long Beach,no,yes,1500,3,2,112461
Santa Monica,no,no,2081,2,1,508385
Long Beach,no,yes,2283,4,3,845480
Long Beach,no,yes,1987,4,3,177804
Westwood,no,yes,1642,3,2,281863
Long Beach,yes,yes,1502,3,2,294980
Santa Monica,no,yes,2351,3,2,854480
Westwood,no,yes,1751,4,3,389152
Westwood,no,no,1767,3,2,888400
Westwood,no,yes,1553,5,4,511175
Long Beach,no,no,2409,2,1,682161
Westwood,no,no,2341,4,3,559499
Westwood,no,no,1658,3,2,738852
Westwood,no,no,2050,2,1,809508
Long Beach,no,yes,2317,2,1,490548
Long Beach,no,yes,2153,4,3,596966
Westwood,no,no,2114,4,3,759378
Long Beach,no,yes,2099,4,3,627483
Santa Monica,no,yes,2258,1,1,920509
Westwood,no,no,1109,2,1,360838
Long Beach,no,yes,2150,4,3,569497
Long Beach,no,no,1953,5,4,399447
Santa Monica,no,no,1466,1,1,941480
Westwood,no,no,1754,6,5,331447
Santa Monica,no,yes,2188,2,1,1037482
Santa Monica,no,yes,2322,3,2,797161
Long Beach,no,yes,2328,5,4,452567
Long Beach,no,yes,2583,7,6,628261
Long Beach,no,no,1551,2,1,461443
Long Beach,no,yes,2421,6,5,753249
Westwood,no,yes,2313,3,2,702221
Long Beach,no,no,2009,3,2,423710
Long Beach,no,no,1437,2,1,382235
Long Beach,no,yes,2623,3,2,392711
Santa Monica,yes,no,2182,5,4,861403
Westwood,no,yes,2613,3,2,540099
Long Beach,no,no,1452,1,1,198533
Long Beach,no,yes,1920,4,3,616424
Santa Monica,yes,yes,1903,3,2,746764
Santa Monica,no,yes,1402,2,1,551434
Long Beach,yes,no,2039,3,2,576515
Westwood,no,yes,1759,1,1,641155
Long Beach,no,no,2746,4,3,996356
Long Beach,yes,yes,2224,4,3,917787
Long Beach,no,yes,2272,3,2,483728
Long Beach,no,no,2347,3,2,523556
Long Beach,no,yes,1882,2,1,755539
Long Beach,no,no,2221,3,2,561420
Long Beach,no,yes,2352,3,2,521360
Westwood,no,yes,2395,2,1,706911
Santa Monica,no,yes,2005,1,1,702803
Long Beach,no,yes,2379,3,2,738854
Santa Monica,no,yes,1585,1,1,339215
Long Beach,no,yes,2769,3,2,452448
Long Beach,no,yes,2213,3,2,831085
Long Beach,no,yes,2440,2,1,614992
Long Beach,yes,yes,2845,4,3,738538
Long Beach,yes,no,2500,3,2,768415
Santa Monica,no,no,1321,1,1,411481
Westwood,no,yes,2874,2,1,866478
Long Beach,no,no,2089,4,3,263005
Westwood,no,no,2727,2,1,881858
Santa Monica,no,yes,1856,2,1,593328
Westwood,no,yes,1827,4,3,809481
Westwood,no,yes,2259,1,1,616111
Long Beach,no,no,2210,6,5,428694
Long Beach,yes,yes,1644,4,3,492151
Westwood,yes,no,2044,2,1,566852
Santa Monica,no,yes,2118,2,1,715361
Westwood,no,yes,2290,1,1,682647
Long Beach,no,no,2240,4,3,587852
Westwood,no,yes,2959,2,1,1029054
Long Beach,no,yes,1810,1,1,504641
Santa Monica,no,yes,1736,2,1,517777
Long Beach,no,no,2228,4,3,808905
Long Beach,yes,no,1672,2,1,409780
Santa Monica,no,yes,1993,2,1,751150
Long Beach,yes,yes,2129,2,1,693989
Westwood,yes,yes,1726,1,1,565103
Long Beach,yes,yes,2061,4,3,441118
Long Beach,no,yes,1772,3,2,413513
Santa Monica,yes,yes,1617,2,1,433940
Long Beach,no,yes,1937,4,3,564894
Long Beach,yes,no,1670,1,1,180906
Long Beach,no,yes,1192,1,1,361970
Long Beach,no,no,2221,3,2,561420
Long Beach,no,yes,2677,4,3,630463
Santa Monica,yes,no,1484,3,2,128016
Westwood,yes,yes,2289,1,1,729489
Westwood,no,yes,2542,3,2,533623
Long Beach,no,yes,1784,2,1,544918
Long Beach,no,no,2342,1,1,584069
Westwood,yes,yes,2276,3,2,734374
Santa Monica,yes,yes,1798,2,1,505923
Westwood,yes,yes,1660,1,1,418153
Westwood,no,yes,2662,4,3,1120005
Long Beach,no,yes,1612,2,1,549419
Santa Monica,no,yes,2738,6,5,932383
Long Beach,yes,yes,2020,5,4,703473
Long Beach,yes,yes,1659,1,1,208389
Long Beach,no,no,2736,5,4,575324
Santa Monica,no,no,2436,3,2,742787
Long Beach,no,yes,1894,3,2,191570
Long Beach,no,yes,1600,4,3,892026
Westwood,yes,no,1934,1,1,776736
Santa Monica,no,no,2335,5,4,889864
Santa Monica,no,yes,1846,3,2,797937
Long Beach,yes,yes,2528,3,2,695905
Westwood,no,yes,2365,2,1,476901
Long Beach,no,yes,2494,6,5,307400
Long Beach,no,yes,2030,1,1,683051
Long Beach,no,yes,2576,2,1,1077314
Santa Monica,no,yes,2108,3,2,867884
Santa Monica,no,no,2111,6,5,538563
Santa Monica,no,yes,2112,5,4,625244
Santa Monica,no,no,2436,2,1,953890
Long Beach,no,yes,2189,4,3,190919
Long Beach,yes,yes,1132,3,2,568644
Westwood,yes,yes,1194,2,1,476000
Long Beach,no,yes,2467,2,1,551325
Santa Monica,no,no,2436,3,2,742787
Long Beach,no,yes,1940,3,2,599034
Santa Monica,no,yes,1972,4,3,508294
Long Beach,no,yes,1819,4,3,182275
Long Beach,no,yes,2212,2,1,491756
Long Beach,yes,yes,2291,3,2,627573
Long Beach,yes,no,2528,1,1,614531
Westwood,no,no,1773,3,2,495636
Santa Monica,no,yes,2038,3,2,737600
Long Beach,yes,no,1780,2,1,595977
Long Beach,no,yes,1510,3,2,297774
Long Beach,no,yes,2245,1,1,249706
Long Beach,no,yes,2981,7,6,983142
Long Beach,yes,yes,2345,4,3,416365
Long Beach,no,no,2215,4,3,540509
Santa Monica,no,yes,2193,4,3,710667
Long Beach,yes,yes,1626,2,1,118632
Long Beach,no,yes,2488,4,3,921973
Long Beach,yes,no,2146,2,1,385493
Long Beach,no,yes,1640,2,1,496600
Santa Monica,no,yes,1649,1,1,518198
Long Beach,yes,no,1787,1,1,249756
Westwood,no,no,1862,2,1,246302
Santa Monica,yes,yes,1549,5,4,193057
Long Beach,no,yes,1948,3,2,367208
Long Beach,no,no,2122,6,5,474725
Long Beach,no,yes,1455,3,2,577932
Long Beach,no,no,2070,2,1,824240
Long Beach,no,yes,2519,6,5,757573
Westwood,yes,yes,2508,4,3,603903
Long Beach,yes,no,1947,3,2,380876
Long Beach,yes,yes,2250,2,1,485789
Westwood,yes,yes,2136,4,3,1045199
Santa Monica,no,yes,1700,3,2,543480
Long Beach,no,yes,1407,1,1,267911
Westwood,no,yes,2321,6,5,615528
Long Beach,no,yes,2131,3,2,197210
Long Beach,no,yes,1956,2,1,682802
Long Beach,no,yes,1826,3,2,188054
Westwood,no,yes,2322,4,3,518086
Long Beach,no,yes,2332,3,2,640402
Santa Monica,no,yes,1573,2,1,722376
Long Beach,yes,yes,1968,2,1,875503
Long Beach,no,yes,2192,3,2,186986
Long Beach,yes,yes,2147,2,1,551272
Long Beach,no,yes,1995,3,2,729518
Westwood,no,no,2849,4,3,879402
Long Beach,no,no,2691,1,1,589064
Santa Monica,yes,yes,1798,2,1,505923
Long Beach,no,yes,2535,5,4,718910
Westwood,no,yes,1828,2,1,527090
Westwood,no,yes,2594,3,2,1083634
Long Beach,no,yes,2042,1,1,547037
Westwood,no,yes,1855,2,1,408168
Long Beach,no,yes,2324,5,4,622532
Santa Monica,no,yes,2595,3,2,789004
Westwood,no,yes,2293,2,1,491414
Santa Monica,no,yes,2309,3,2,738853
Long Beach,yes,yes,1967,2,1,240452
Westwood,no,no,2727,2,1,881858
Long Beach,yes,yes,2044,1,1,560947
Long Beach,no,yes,2355,5,4,347599
Santa Monica,no,yes,1452,1,1,181835
Long Beach,no,yes,2500,3,2,384097
Westwood,no,yes,2430,4,3,1042894
Long Beach,no,no,1656,3,2,628371
Santa Monica,no,yes,2184,3,2,832977
Long Beach,yes,no,1874,6,5,315735
Long Beach,no,yes,2016,4,3,689623
Long Beach,yes,yes,2111,4,3,555014
Long Beach,no,yes,2210,3,2,575422
Westwood,no,no,2521,4,3,804040
Santa Monica,no,no,1743,2,1,909773
Long Beach,no,yes,2981,7,6,983142
Long Beach,no,yes,1430,2,1,298148
Long Beach,no,no,2163,2,1,588400
Santa Monica,no,no,2418,3,2,814875
Westwood,no,no,2141,5,4,669785
Long Beach,no,yes,1707,4,3,362174
Santa Monica,no,no,1989,1,1,398127
Long Beach,no,yes,1553,4,3,728088
Long Beach,no,no,1918,3,2,431810
Westwood,no,yes,2309,3,2,782635
Long Beach,no,yes,1349,3,2,524214
Long Beach,no,yes,2089,2,1,499962
Long Beach,no,no,1706,3,2,525362
Santa Monica,no,yes,2328,5,4,718591
Westwood,yes,yes,1194,2,1,476000
Westwood,no,no,1109,2,1,360838
Santa Monica,no,yes,1912,2,1,635838
Long Beach,no,yes,1877,4,3,156071
Long Beach,no,yes,2239,4,3,681420
Santa Monica,no,yes,2184,3,2,832977
Long Beach,no,yes,2037,6,5,385222
Westwood,yes,yes,1873,2,1,253410
Long Beach,yes,yes,2603,6,5,742144
Long Beach,no,yes,2434,3,2,801363
Westwood,no,no,1727,2,1,432667
Santa Monica,yes,yes,1899,1,1,1022895
Long Beach,no,no,2064,1,1,853355
Westwood,no,no,2220,2,1,803532
Long Beach,no,no,1858,3,2,193787
Long Beach,no,yes,2288,2,1,844174
Long Beach,no,yes,2101,5,4,750811
Long Beach,no,no,1560,6,5,207631
Long Beach,no,no,1424,2,1,323425
Westwood,no,yes,1627,3,2,506370
Long Beach,no,yes,1431,5,4,334319
Long Beach,no,yes,2287,6,5,503878
Long Beach,yes,yes,2045,3,2,523854
Long Beach,no,no,2390,3,2,505225
Westwood,no,no,2440,2,1,393048
Westwood,no,yes,1937,2,1,247263
Westwood,no,no,1831,2,1,739646
Westwood,no,yes,2366,7,6,599293
Long Beach,no,yes,2189,2,1,445492
Long Beach,yes,yes,1639,3,2,162581
Long Beach,no,no,2643,1,1,661476
Long Beach,no,yes,1658,1,1,835278
Westwood,no,yes,2146,3,2,705137
Long Beach,yes,yes,1732,2,1,420673
Westwood,no,yes,1942,1,1,773331
Long Beach,no,yes,1951,3,2,293632
Long Beach,no,no,2569,8,7,1053886
Westwood,yes,no,1227,1,1,261518
Westwood,yes,yes,1947,2,1,432660
Long Beach,no,yes,2126,2,1,656227
Long Beach,no,yes,2104,2,1,428000
Long Beach,no,yes,2335,4,3,631994
Long Beach,no,no,1992,1,1,601613
Long Beach,no,no,1545,4,3,383937
Santa Monica,no,yes,2289,5,4,1006164
Long Beach,no,yes,2073,4,3,392188
Santa Monica,no,yes,1529,2,1,613392
Long Beach,no,no,1294,3,2,353472
Long Beach,no,no,1908,4,3,361724
Westwood,no,no,1728,2,1,752458
Long Beach,no,yes,2085,2,1,518907
Long Beach,yes,no,2027,3,2,709316
Santa Monica,yes,yes,2631,7,6,1302116
Long Beach,no,no,2181,3,2,703447
Westwood,no,yes,2046,5,4,450317
Santa Monica,no,yes,2242,2,1,1027199
Santa Monica,yes,no,2496,3,2,933338
Santa Monica,no,no,2579,1,1,814334
Santa Monica,no,yes,1679,1,1,289093
Long Beach,no,yes,2710,5,4,661170
Long Beach,no,yes,2057,5,4,464373
Westwood,no,yes,1729,1,1,351801
Long Beach,yes,yes,1459,2,1,233375
Santa Monica,no,no,2402,3,2,943270
Westwood,no,yes,1342,4,3,205063
Westwood,no,no,1862,2,1,246302
Santa Monica,no,yes,1674,4,3,474987
Long Beach,no,no,2204,1,1,471821
Westwood,no,yes,1885,2,1,410715
Long Beach,no,yes,2421,6,5,753249
Long Beach,no,yes,2210,3,2,575422
